,M4
380,8.213e-005
381,5.650e-005
382,1.932e-005
383,1.185e-004
384,9.690e-005
385,8.643e-005
386,8.504e-005
387,7.967e-005
388,1.030e-004
389,1.460e-004
390,1.519e-004
391,2.123e-004
392,1.889e-004
393,2.066e-004
394,1.990e-004
395,1.967e-004
396,2.393e-004
397,2.150e-004
398,2.494e-004
399,2.119e-004
400,2.348e-004
401,2.225e-004
402,2.145e-004
403,2.126e-004
404,2.138e-004
405,2.264e-004
406,2.119e-004
407,2.449e-004
408,2.296e-004
409,2.322e-004
410,2.216e-004
411,2.076e-004
412,2.452e-004
413,2.430e-004
414,2.436e-004
415,2.598e-004
416,3.063e-004
417,3.288e-004
418,3.349e-004
419,4.188e-004
420,4.588e-004
421,5.358e-004
422,6.297e-004
423,7.447e-004
424,8.786e-004
425,1.004e-003
426,1.159e-003
427,1.364e-003
428,1.581e-003
429,1.831e-003
430,2.098e-003
431,2.396e-003
432,2.801e-003
433,3.558e-003
434,6.072e-003
435,8.542e-003
436,8.191e-003
437,9.009e-003
438,1.041e-002
439,8.041e-003
440,6.145e-003
441,6.303e-003
442,6.673e-003
443,7.064e-003
444,7.406e-003
445,7.685e-003
446,8.030e-003
447,8.189e-003
448,8.377e-003
449,8.543e-003
450,8.652e-003
451,8.717e-003
452,8.732e-003
453,8.694e-003
454,8.597e-003
455,8.501e-003
456,8.376e-003
457,8.276e-003
458,8.025e-003
459,7.835e-003
460,7.643e-003
461,7.462e-003
462,7.159e-003
463,6.811e-003
464,6.549e-003
465,6.306e-003
466,5.978e-003
467,5.648e-003
468,5.370e-003
469,5.073e-003
470,4.786e-003
471,4.512e-003
472,4.226e-003
473,3.961e-003
474,3.683e-003
475,3.451e-003
476,3.160e-003
477,2.949e-003
478,2.738e-003
479,2.564e-003
480,2.357e-003
481,2.175e-003
482,2.025e-003
483,1.869e-003
484,1.741e-003
485,1.632e-003
486,1.529e-003
487,1.469e-003
488,1.402e-003
489,1.350e-003
490,1.327e-003
491,1.289e-003
492,1.262e-003
493,1.255e-003
494,1.271e-003
495,1.255e-003
496,1.264e-003
497,1.313e-003
498,1.337e-003
499,1.448e-003
500,1.526e-003
501,1.614e-003
502,1.692e-003
503,1.800e-003
504,1.909e-003
505,2.018e-003
506,2.143e-003
507,2.242e-003
508,2.328e-003
509,2.413e-003
510,2.475e-003
511,2.503e-003
512,2.489e-003
513,2.451e-003
514,2.366e-003
515,2.297e-003
516,2.194e-003
517,2.056e-003
518,1.929e-003
519,1.799e-003
520,1.672e-003
521,1.573e-003
522,1.450e-003
523,1.356e-003
524,1.257e-003
525,1.180e-003
526,1.101e-003
527,1.032e-003
528,9.763e-004
529,9.161e-004
530,8.579e-004
531,8.000e-004
532,7.707e-004
533,7.228e-004
534,6.772e-004
535,6.456e-004
536,5.894e-004
537,5.511e-004
538,5.113e-004
539,4.862e-004
540,4.491e-004
541,4.144e-004
542,3.943e-004
543,4.454e-004
544,9.995e-004
545,1.701e-003
546,1.486e-003
547,1.385e-003
548,1.446e-003
549,7.126e-004
550,2.256e-004
551,1.945e-004
552,1.663e-004
553,1.403e-004
554,1.254e-004
555,1.057e-004
556,9.663e-005
557,7.999e-005
558,7.058e-005
559,7.988e-005
560,8.189e-005
561,8.462e-005
562,9.137e-005
563,7.877e-005
564,7.877e-005
565,7.666e-005
566,5.940e-005
567,5.218e-005
568,3.825e-005
569,3.201e-005
570,2.502e-005
571,2.333e-005
572,3.228e-005
573,3.044e-005
574,5.133e-005
575,1.185e-004
576,1.800e-004
577,2.234e-004
578,3.154e-004
579,2.875e-004
580,2.203e-004
581,1.814e-004
582,1.156e-004
583,4.114e-005
584,5.056e-005
585,6.176e-005
586,6.817e-005
587,7.725e-005
588,8.953e-005
589,1.012e-004
590,9.509e-005
591,1.068e-004
592,1.275e-004
593,1.232e-004
594,1.244e-004
595,1.200e-004
596,1.045e-004
597,9.466e-005
598,1.107e-004
599,1.151e-004
600,1.269e-004
601,1.353e-004
602,1.114e-004
603,9.160e-005
604,7.221e-005
605,9.191e-005
606,1.123e-004
607,1.730e-004
608,3.210e-004
609,7.013e-004
610,1.129e-003
611,1.279e-003
612,1.417e-003
613,1.498e-003
614,1.127e-003
615,7.091e-004
616,5.535e-004
617,4.516e-004
618,3.426e-004
619,2.985e-004
620,2.944e-004
621,3.320e-004
622,3.979e-004
623,4.482e-004
624,5.147e-004
625,5.419e-004
626,5.618e-004
627,5.652e-004
628,6.279e-004
629,6.859e-004
630,7.538e-004
631,7.761e-004
632,7.784e-004
633,7.408e-004
634,6.345e-004
635,5.472e-004
636,4.850e-004
637,4.238e-004
638,4.166e-004
639,4.219e-004
640,4.159e-004
641,4.394e-004
642,4.464e-004
643,4.475e-004
644,4.204e-004
645,4.467e-004
646,5.044e-004
647,5.768e-004
648,6.848e-004
649,8.112e-004
650,9.459e-004
651,1.058e-003
652,1.110e-003
653,1.146e-003
654,1.174e-003
655,1.257e-003
656,1.366e-003
657,1.515e-003
658,1.647e-003
659,1.749e-003
660,1.741e-003
661,1.674e-003
662,1.508e-003
663,1.353e-003
664,1.186e-003
665,1.031e-003
666,9.226e-004
667,8.043e-004
668,7.224e-004
669,6.104e-004
670,5.172e-004
671,4.012e-004
672,3.057e-004
673,2.857e-004
674,2.560e-004
675,2.304e-004
676,1.999e-004
677,1.672e-004
678,1.702e-004
679,1.839e-004
680,1.933e-004
681,1.533e-004
682,1.350e-004
683,1.125e-004
684,1.211e-004
685,1.435e-004
686,1.563e-004
687,1.145e-004
688,1.064e-004
689,9.644e-005
690,1.015e-004
691,1.135e-004
692,1.316e-004
693,7.773e-005
694,7.697e-005
695,6.674e-005
696,4.707e-005
697,4.431e-005
698,6.171e-005
699,2.728e-005
700,1.694e-005
701,9.331e-006
702,3.159e-005
703,4.799e-005
704,8.425e-005
705,1.183e-004
706,1.164e-004
707,1.808e-004
708,1.762e-004
709,1.299e-004
710,1.685e-004
711,1.402e-004
712,9.515e-005
713,8.371e-005
714,7.732e-005
715,2.769e-005
716,9.725e-006
717,7.905e-026
718,8.016e-026
719,8.098e-026
720,2.620e-005
721,8.354e-026
722,8.478e-026
723,8.622e-026
724,8.762e-026
725,8.887e-026
726,9.042e-026
727,9.172e-026
728,9.308e-026
729,9.437e-026
730,1.887e-006
731,2.911e-005
732,9.842e-026
733,1.001e-025
734,1.019e-025
735,1.035e-025
736,1.051e-025
737,1.067e-025
738,1.089e-025
739,1.107e-025
740,1.125e-025
741,1.145e-025
742,1.164e-025
743,1.189e-025
744,1.219e-025
745,1.244e-025
746,2.595e-006
747,1.717e-005
748,1.056e-005
749,1.009e-005
750,3.007e-005
751,3.388e-006
752,1.487e-025
753,1.512e-025
754,1.533e-025
755,1.550e-025
756,1.575e-025
757,5.868e-006
758,2.934e-005
759,1.419e-005
760,1.692e-025
761,2.609e-005
762,1.767e-025
763,1.797e-025
764,1.833e-025
765,1.876e-025
766,1.916e-025
767,2.093e-006
768,1.130e-005
769,7.451e-006
770,6.422e-006
771,2.138e-025
772,1.472e-005
773,2.253e-025
774,2.312e-025
775,2.372e-025
776,2.430e-025
777,1.667e-005
778,2.573e-025
779,2.638e-025
780,2.683e-025
